"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"349","4","Monarch Phenotype","","Talipes","0.0078","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.6E-4","","HP:0001883","0.21079053973095196","0"
"541","5","GO Biological Process","","Regulation of DNA metabolic process","0.0079","WAPL|PDS5A|AURKB|SMC3|CDK1","580","753|771|705|759|699","5.42E-5","","GO:0051052","0.21023729087095586","0"
"354","4","Monarch Phenotype","","Positional foot deformity","0.0082","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.6E-4","","HP:0005656","0.20861861476162832","0"
"92","3","GO Biological Process","","Positive regulation of mitotic cell cycle phase transition","0.0083","ESPL1|CDCA5|CDK1","580","735|723|699","5.8E-5","","GO:1901992","0.20809219076239263","0"
"22","2","Monarch Phenotype","","Solitary median maxillary central incisor","0.0083","STAG2|SMC1A","580","669|777","1.7E-4","","HP:0006315","0.20809219076239263","0"
"22","2","Monarch Phenotype","","Abnormal morphology of the olfactory bulb","0.0083","STAG2|SMC1A","580","669|777","1.7E-4","","HP:0040327","0.20809219076239263","0"
"20","2","Reactome Pathways","","Phosphorylation of the APC/C","0.0085","PLK1|CDK1","580","711|699","1.4E-4","","HSA-176412","0.20705810742857073","0"
"10","2","TISSUES","","Oral squamous cell carcinoma cell line","0.0089","MAU2|NIPBL","580","717|729","4.06E-5","","BTO:0002211","0.20506099933550873","0"
"1152","6","Monarch Phenotype","","Short stature","0.0094","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","1.9E-4","","HP:0004322","0.20268721464003012","0"
"24","2","Monarch Phenotype","","Oromotor apraxia","0.0095","STAG2|SMC1A","580","669|777","2.0E-4","","HP:0007301","0.20222763947111524","0"
"144","3","Monarch Phenotype","","Cleft upper lip","0.01","STAG2|NIPBL|SMC1A","580","669|729|777","2.1E-4","","HP:0000204","0.2","0"
"2677","9","GO Biological Process","","Cellular localization","0.0105","ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|AURKB|CDK1","580","735|717|723|729|765|753|711|705|699","7.37E-5","","GO:0051641","0.1978810700930062","0"
"1146","6","COMPARTMENTS","","Nucleoplasm","0.0107","MAU2|RAD21|PLK1|AURKB|SMC3|CDK1","580","717|765|711|705|759|699","1.9E-4","","GOCC:0005654","0.19706162223147902","0"
"387","4","Monarch Phenotype","","Hypoplasia of penis","0.0107","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.3E-4","","HP:0008736","0.19706162223147902","0"
"391","4","Monarch Phenotype","","Abnormal internal genitalia","0.0111","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.4E-4","","HP:0000812","0.19546770212133427","0"
"139","3","Reactome Pathways","","RHO GTPases Activate Formins","0.0112","PLK1|AURKB|CDC20","580","711|705|672","1.9E-4","","HSA-5663220","0.19507819773298182","0"
"24","2","Reactome Pathways","","APC/C:Cdc20 mediated degradation of Cyclin B","0.0113","CDC20|CDK1","580","672|699","2.0E-4","","HSA-174048","0.19469215565165804","0"
"753","5","Monarch Phenotype","","Sensorineural hearing impairment","0.0117","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","2.5E-4","","HP:0000407","0.19318141382538384","0"
"25","2","Reactome Pathways","","Cyclin A/B1/B2 associated events during G2/M transition","0.0119","PLK1|CDK1","580","711|699","2.1E-4","","HSA-69273","0.19244530386074693","0"
"28","2","Monarch Phenotype","","Panhypopituitarism","0.012","STAG2|SMC1A","580","669|777","2.7E-4","","HP:0000871","0.19208187539523752","0"
"28","2","Monarch Phenotype","","Sleep-wake cycle disturbance","0.012","STAG2|SMC1A","580","669|777","2.7E-4","","HP:0006979","0.19208187539523752","0"
"762","5","Monarch Phenotype","","Abnormal calvaria morphology","0.0121","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","2.7E-4","","HP:0002683","0.191721462968355","0"
"765","5","Monarch Phenotype","","Abnormal cerebral ventricle morphology","0.0123","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","2.7E-4","","HP:0002118","0.19100948885606023","0"
"29","2","Monarch Phenotype","","Temperature instability","0.0127","STAG2|SMC1A","580","669|777","2.8E-4","","HP:0005968","0.18961962790440431","0"
"16","2","GO Biological Process","","Protein localization to kinetochore","0.0132","AURKB|CDK1","580","705|699","9.38E-5","","GO:0034501","0.18794260687941503","0"
"2","2","InterPro Domains","","Sister chromatid cohesion protein Pds5","0.0133","PDS5A|PDS5B","580","771|741","3.7E-6","","IPR039776","0.18761483590329142","0"
"30","2","Monarch Phenotype","","Vertebral clefting","0.0133","STAG2|RAD21","580","669|765","3.0E-4","","HP:0008428","0.18761483590329142","0"
"416","4","Monarch Phenotype","","Peripheral neuropathy","0.0133","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.0E-4","","HP:0009830","0.18761483590329142","0"
"1252","6","Monarch Phenotype","","Abnormality of the vertebral column","0.0134","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","3.1E-4","","HP:0000925","0.18728952016351924","0"
